artist_names,artist_url,artist_id,track_names,track_url,track_id,popularity
bbno$,{'spotify': 'https://open.spotify.com/artist/41X1TR6hrK8Q2ZCpp2EqCz'},41X1TR6hrK8Q2ZCpp2EqCz,i remember,{'spotify': 'https://open.spotify.com/track/4MWFPLrhkekG6gcix2l3vJ'},4MWFPLrhkekG6gcix2l3vJ,53
MIYAVI,{'spotify': 'https://open.spotify.com/artist/7sBtBCNVRujQhaHDODkfTN'},7sBtBCNVRujQhaHDODkfTN,Flashback,{'spotify': 'https://open.spotify.com/track/1ylnqO4n7fgBRYz8AD6tdH'},1ylnqO4n7fgBRYz8AD6tdH,62
Y2K,{'spotify': 'https://open.spotify.com/artist/6USMTwO0MNDnKte5a5h0xx'},6USMTwO0MNDnKte5a5h0xx,Lalala,{'spotify': 'https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo'},51Fjme0JiitpyXKuyQiCDo,75
bbno$,{'spotify': 'https://open.spotify.com/artist/41X1TR6hrK8Q2ZCpp2EqCz'},41X1TR6hrK8Q2ZCpp2EqCz,imma,{'spotify': 'https://open.spotify.com/track/3FxAHJDCXMx9ox4TEQpiIY'},3FxAHJDCXMx9ox4TEQpiIY,53
Dougie MacLean,{'spotify': 'https://open.spotify.com/artist/63gizE0cqalXVpwZdZHY47'},63gizE0cqalXVpwZdZHY47,Caledonia (Arr. Morgan),{'spotify': 'https://open.spotify.com/track/3RcEyCsmqrL1XhhvGvbrlq'},3RcEyCsmqrL1XhhvGvbrlq,31
Adam Fan,{'spotify': 'https://open.spotify.com/artist/1E4g32yGNzPxk7GOhJBulj'},1E4g32yGNzPxk7GOhJBulj,I Don't Gotta Know,{'spotify': 'https://open.spotify.com/track/4bToS6CYQw8A9IDGPVmkjW'},4bToS6CYQw8A9IDGPVmkjW,54
Nana Ou-Yang,{'spotify': 'https://open.spotify.com/artist/22JbAaWA5Abf5esf6N4PHY'},22JbAaWA5Abf5esf6N4PHY,The Best For You,{'spotify': 'https://open.spotify.com/track/4WMCn6s4BZZPfQT3DJbB47'},4WMCn6s4BZZPfQT3DJbB47,53
Giveon,{'spotify': 'https://open.spotify.com/artist/4fxd5Ee7UefO4CUXgwJ7IP'},4fxd5Ee7UefO4CUXgwJ7IP,Untitled (How Does It Feel),{'spotify': 'https://open.spotify.com/track/6ALoVRxwV5KxaSWyejnmvi'},6ALoVRxwV5KxaSWyejnmvi,57
Frank Ocean,{'spotify': 'https://open.spotify.com/artist/2h93pZq0e7k5yf4dywlkpM'},2h93pZq0e7k5yf4dywlkpM,Nights,{'spotify': 'https://open.spotify.com/track/7eqoqGkKwgOaWNNHx90uEZ'},7eqoqGkKwgOaWNNHx90uEZ,79
Amy Beach,{'spotify': 'https://open.spotify.com/artist/1QeC5GwDENQv78O3PCLeZB'},1QeC5GwDENQv78O3PCLeZB,"Romance for Violin and Piano, Op. 23",{'spotify': 'https://open.spotify.com/track/2hHQb8EIlBNwALIVV3UUez'},2hHQb8EIlBNwALIVV3UUez,30
Fousheé,{'spotify': 'https://open.spotify.com/artist/6trIghKwHRUyxwvm66HLHH'},6trIghKwHRUyxwvm66HLHH,single af,{'spotify': 'https://open.spotify.com/track/3LcFNj04sHJson5SIrRPAe'},3LcFNj04sHJson5SIrRPAe,48
Robert Prizeman,{'spotify': 'https://open.spotify.com/artist/2G9gEEtYueq2WQqzfzWK0H'},2G9gEEtYueq2WQqzfzWK0H,Ave Maria,{'spotify': 'https://open.spotify.com/track/2tzuj2PWVgV73v8pF6AYGg'},2tzuj2PWVgV73v8pF6AYGg,2
Nana Ou-Yang,{'spotify': 'https://open.spotify.com/artist/22JbAaWA5Abf5esf6N4PHY'},22JbAaWA5Abf5esf6N4PHY,藏,{'spotify': 'https://open.spotify.com/track/7vkITBW6YsAcX9X2oBHtnT'},7vkITBW6YsAcX9X2oBHtnT,29
CHUNG HA,{'spotify': 'https://open.spotify.com/artist/2PSJ6YriU7JsFucxACpU7Y'},2PSJ6YriU7JsFucxACpU7Y,My Lips Like Warm Coffee,{'spotify': 'https://open.spotify.com/track/7j59Opz7qhb2aj7cnu7iLr'},7j59Opz7qhb2aj7cnu7iLr,24
Billie Eilish,{'spotify': 'https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH'},6qqNVTkY8uBg9cP3Jd7DAH,Getting Older,{'spotify': 'https://open.spotify.com/track/4HOryCnbme0zBnF8LWij3f'},4HOryCnbme0zBnF8LWij3f,73
Jackson Wang,{'spotify': 'https://open.spotify.com/artist/1kfWoWgCugPkyxQP8lkRlY'},1kfWoWgCugPkyxQP8lkRlY,Drive You Home,{'spotify': 'https://open.spotify.com/track/7uidJM7xBikobIitpHQKZ4'},7uidJM7xBikobIitpHQKZ4,60
Clara Schumann,{'spotify': 'https://open.spotify.com/artist/2yzaWNFV3cxmcRZtwtr5WC'},2yzaWNFV3cxmcRZtwtr5WC,"Soirées Musicales, Op. 6: III. Mazurka",{'spotify': 'https://open.spotify.com/track/3k7ycbeHVQ9HdnuXPoMNv8'},3k7ycbeHVQ9HdnuXPoMNv8,4
Clara Schumann,{'spotify': 'https://open.spotify.com/artist/2yzaWNFV3cxmcRZtwtr5WC'},2yzaWNFV3cxmcRZtwtr5WC,"Three Romances for Violin and Piano, Op. 22: I. Andante molto",{'spotify': 'https://open.spotify.com/track/76Dnq6tk34o2Z4IqFA8aua'},76Dnq6tk34o2Z4IqFA8aua,38
bbno$,{'spotify': 'https://open.spotify.com/artist/41X1TR6hrK8Q2ZCpp2EqCz'},41X1TR6hrK8Q2ZCpp2EqCz,edamame (feat. Rich Brian),{'spotify': 'https://open.spotify.com/track/1uMHCAyGmHqyygoNRuo7MV'},1uMHCAyGmHqyygoNRuo7MV,77
88rising,{'spotify': 'https://open.spotify.com/artist/1AhjOkOLkbHUfcHDSErXQs'},1AhjOkOLkbHUfcHDSErXQs,California (feat. Jackson Wang & Warren Hue) - [Remix],{'spotify': 'https://open.spotify.com/track/1SZcEr3Wo7vvK4UUn3bi8v'},1SZcEr3Wo7vvK4UUn3bi8v,54
Vince Staples,{'spotify': 'https://open.spotify.com/artist/68kEuyFKyqrdQQLLsmiatm'},68kEuyFKyqrdQQLLsmiatm,ARE YOU WITH THAT?,{'spotify': 'https://open.spotify.com/track/5OFEJMirg4NPz7G1zgXDYu'},5OFEJMirg4NPz7G1zgXDYu,63
Joji,{'spotify': 'https://open.spotify.com/artist/3MZsBdqDrRTJihTHQrO6Dq'},3MZsBdqDrRTJihTHQrO6Dq,Afterthought,{'spotify': 'https://open.spotify.com/track/6zvqq50PL7io0rprbkrYc9'},6zvqq50PL7io0rprbkrYc9,68
Joji,{'spotify': 'https://open.spotify.com/artist/3MZsBdqDrRTJihTHQrO6Dq'},3MZsBdqDrRTJihTHQrO6Dq,Like You Do,{'spotify': 'https://open.spotify.com/track/1MONUudxAjEk76FJvzGhuD'},1MONUudxAjEk76FJvzGhuD,73
Joji,{'spotify': 'https://open.spotify.com/artist/3MZsBdqDrRTJihTHQrO6Dq'},3MZsBdqDrRTJihTHQrO6Dq,Pretty Boy (feat. Lil Yachty),{'spotify': 'https://open.spotify.com/track/0f1G5SHFoFC9lO03gHCGVS'},0f1G5SHFoFC9lO03gHCGVS,69
88rising,{'spotify': 'https://open.spotify.com/artist/1AhjOkOLkbHUfcHDSErXQs'},1AhjOkOLkbHUfcHDSErXQs,Midsummer Madness,{'spotify': 'https://open.spotify.com/track/6TodWdTSDfzwgYynTZSvJn'},6TodWdTSDfzwgYynTZSvJn,72
Marzz,{'spotify': 'https://open.spotify.com/artist/21ZpqFOa1Viho0YiuEB8lG'},21ZpqFOa1Viho0YiuEB8lG,Countless Times,{'spotify': 'https://open.spotify.com/track/5sZGJQjdAAGiqF8AtAMv4f'},5sZGJQjdAAGiqF8AtAMv4f,46
FINNEAS,{'spotify': 'https://open.spotify.com/artist/37M5pPGs6V1fchFJSgCguX'},37M5pPGs6V1fchFJSgCguX,Break My Heart Again,{'spotify': 'https://open.spotify.com/track/7gGBgh0bVxHPgZjA505bo9'},7gGBgh0bVxHPgZjA505bo9,70
FINNEAS,{'spotify': 'https://open.spotify.com/artist/37M5pPGs6V1fchFJSgCguX'},37M5pPGs6V1fchFJSgCguX,Let's Fall in Love for the Night,{'spotify': 'https://open.spotify.com/track/7kQkmyoHCEqwe7QwDbkSXM'},7kQkmyoHCEqwe7QwDbkSXM,71
Rex Orange County,{'spotify': 'https://open.spotify.com/artist/7pbDxGE6nQSZVfiFdq9lOL'},7pbDxGE6nQSZVfiFdq9lOL,Pluto Projector,{'spotify': 'https://open.spotify.com/track/4EWBhKf1fOFnyMtUzACXEc'},4EWBhKf1fOFnyMtUzACXEc,81
Billie Eilish,{'spotify': 'https://open.spotify.com/artist/6qqNVTkY8uBg9cP3Jd7DAH'},6qqNVTkY8uBg9cP3Jd7DAH,Lost Cause,{'spotify': 'https://open.spotify.com/track/2xdwCJLfKCkat14mlgR26M'},2xdwCJLfKCkat14mlgR26M,2
蛋堡 x 黃玠,{'spotify': 'https://open.spotify.com/artist/4XZNROthOZV5k7sPAG3UTX'},4XZNROthOZV5k7sPAG3UTX,放個假,{'spotify': 'https://open.spotify.com/track/13WuxHOJdApCaWfACurQ0f'},13WuxHOJdApCaWfACurQ0f,36
Robert Schumann,{'spotify': 'https://open.spotify.com/artist/2UqjDAXnDxejEyE0CzfUrZ'},2UqjDAXnDxejEyE0CzfUrZ,Davidsbündlertänze opus 6: Davidsbündlertänze opus 6: XIV. Zart und lustig,{'spotify': 'https://open.spotify.com/track/6O6AcbMPN8UaUmvJVfQ73A'},6O6AcbMPN8UaUmvJVfQ73A,2
Jay Chou,{'spotify': 'https://open.spotify.com/artist/2elBjNSdBE2Y3f0j1mjrql'},2elBjNSdBE2Y3f0j1mjrql,我落淚˙情緒零碎,{'spotify': 'https://open.spotify.com/track/29WAoBFCndvO78qMdDwNUl'},29WAoBFCndvO78qMdDwNUl,49
Rich Brian,{'spotify': 'https://open.spotify.com/artist/2IDLDx25HU1nQMKde4n61a'},2IDLDx25HU1nQMKde4n61a,Sydney,{'spotify': 'https://open.spotify.com/track/3OzZSSRbdIr1Jojw1rHUB1'},3OzZSSRbdIr1Jojw1rHUB1,47
88rising,{'spotify': 'https://open.spotify.com/artist/1AhjOkOLkbHUfcHDSErXQs'},1AhjOkOLkbHUfcHDSErXQs,California (feat. Warren Hue),{'spotify': 'https://open.spotify.com/track/3Qj2f7BrpJNGj3dbxKpOlp'},3Qj2f7BrpJNGj3dbxKpOlp,64
Robert Schumann,{'spotify': 'https://open.spotify.com/artist/2UqjDAXnDxejEyE0CzfUrZ'},2UqjDAXnDxejEyE0CzfUrZ,Davidsbündlertänze opus 6: Davidsbündlertänze opus 6: IV. Ungeduldig,{'spotify': 'https://open.spotify.com/track/7ymB55gMQ7TQ4nzt5DUDAS'},7ymB55gMQ7TQ4nzt5DUDAS,2
Robert Schumann,{'spotify': 'https://open.spotify.com/artist/2UqjDAXnDxejEyE0CzfUrZ'},2UqjDAXnDxejEyE0CzfUrZ,"Schumann: Davidsbündlertänze, Op. 6, Heft II: No. 17, Wie aus der Ferne",{'spotify': 'https://open.spotify.com/track/7azbxrt9Wi0ra1qFfcCUOR'},7azbxrt9Wi0ra1qFfcCUOR,32
Robert Schumann,{'spotify': 'https://open.spotify.com/artist/2UqjDAXnDxejEyE0CzfUrZ'},2UqjDAXnDxejEyE0CzfUrZ,"Schumann: Davidsbündlertänze, Op. 6, Heft II: No. 14, Zart und singend",{'spotify': 'https://open.spotify.com/track/3rzwGepRS2pjTwvhBvMmiz'},3rzwGepRS2pjTwvhBvMmiz,48
Joji,{'spotify': 'https://open.spotify.com/artist/3MZsBdqDrRTJihTHQrO6Dq'},3MZsBdqDrRTJihTHQrO6Dq,Demons,{'spotify': 'https://open.spotify.com/track/77UXyXy6qie0sOtLdEIH4A'},77UXyXy6qie0sOtLdEIH4A,69
J.Sheon,{'spotify': 'https://open.spotify.com/artist/4DEItwf281SHmTnS8q3Mn9'},4DEItwf281SHmTnS8q3Mn9,別問很可怕,{'spotify': 'https://open.spotify.com/track/3t7GX7UAoxFcvkWCDqEvLW'},3t7GX7UAoxFcvkWCDqEvLW,53
J.Sheon,{'spotify': 'https://open.spotify.com/artist/4DEItwf281SHmTnS8q3Mn9'},4DEItwf281SHmTnS8q3Mn9,輸情歌,{'spotify': 'https://open.spotify.com/track/2Ub5ZGPsej0A6YpvzhntLL'},2Ub5ZGPsej0A6YpvzhntLL,49
Ryan.B,{'spotify': 'https://open.spotify.com/artist/78EWtfjj7daNa4FrTSPQsD'},78EWtfjj7daNa4FrTSPQsD,小鹿乱撞,{'spotify': 'https://open.spotify.com/track/4Mdw361yPWmE5VY39WaIpN'},4Mdw361yPWmE5VY39WaIpN,41
Kanye West,{'spotify': 'https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x'},5K4W6rqBFWDnAN6FQUkS6x,Gold Digger,{'spotify': 'https://open.spotify.com/track/3QHPHLAkYV5cQBUYs6rowx'},3QHPHLAkYV5cQBUYs6rowx,65
J. Cole,{'spotify': 'https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5'},6l3HvQ5sa6mXTsMTB19rO5,KOD,{'spotify': 'https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI'},7yotKA30dwTKNEGomV9ZsI,68
J. Cole,{'spotify': 'https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5'},6l3HvQ5sa6mXTsMTB19rO5,p r i d e . i s . t h e . d e v i l (with Lil Baby),{'spotify': 'https://open.spotify.com/track/5W8jRrZ6tWrTrqnKRtIQBf'},5W8jRrZ6tWrTrqnKRtIQBf,78
J. Cole,{'spotify': 'https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5'},6l3HvQ5sa6mXTsMTB19rO5,1 0 0 . m i l ‘ (with Bas),{'spotify': 'https://open.spotify.com/track/4n6NDfYake476trCjJRNl0'},4n6NDfYake476trCjJRNl0,62
J. Cole,{'spotify': 'https://open.spotify.com/artist/6l3HvQ5sa6mXTsMTB19rO5'},6l3HvQ5sa6mXTsMTB19rO5,a m a r i,{'spotify': 'https://open.spotify.com/track/2cnKST6T9qUo2i907lm8zX'},2cnKST6T9qUo2i907lm8zX,74
Christoph Willibald Gluck,{'spotify': 'https://open.spotify.com/artist/7vfydQ0nVBVgJ0ajs8EtRM'},7vfydQ0nVBVgJ0ajs8EtRM,"Melodie from ""Orfeo ed Euridice"", Wq. 30 (Arr. Giovanni Sgambati)",{'spotify': 'https://open.spotify.com/track/71S0ksOIsXEqvUNNTb1RJd'},71S0ksOIsXEqvUNNTb1RJd,31
Clara Schumann,{'spotify': 'https://open.spotify.com/artist/2yzaWNFV3cxmcRZtwtr5WC'},2yzaWNFV3cxmcRZtwtr5WC,"Schumann: 12 Gedichte aus Liebesfrühling, Op. 37: No. 11: Warum willst du andre fragen",{'spotify': 'https://open.spotify.com/track/1NechTDnTtSaciAT6gmvJQ'},1NechTDnTtSaciAT6gmvJQ,58
BIBI,{'spotify': 'https://open.spotify.com/artist/6UbmqUEgjLA6jAcXwbM1Z9'},6UbmqUEgjLA6jAcXwbM1Z9,BINU,{'spotify': 'https://open.spotify.com/track/0lSJQip2wVidbu1JfZ4IEQ'},0lSJQip2wVidbu1JfZ4IEQ,54
